Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2005-01-30,,,,,,,,,,1,1,,2,,,,,,,,,1,,
2005-01-31,,,,,,,,2,7,2,1,,,4,,,,,,,,,,
2005-02-01,,,,,,,,2,4,4,,,,2,1,1,1,1,,2,,,,
2005-02-02,,,,,,,,,9,2,,,1,2,,1,1,2,1,,,,,
2005-02-03,,,,,,,,1,7,3,,,,1,1,1,,,,,,,,
2005-02-04,,,,,,,,,4,3,1,,1,2,1,3,,1,,1,,,,
2005-02-05,,,,,,,,,1,1,,,,,,,1,,,,,,,
2005-02-06,,,,,,,,,,1,1,1,1,,,2,,1,,,,1,,
2005-02-07,,,,,,,,2,4,3,,1,1,2,,1,,,,,,,,
2005-02-08,,,,,,,1,3,5,3,,1,,3,1,,2,,,,,,,
2005-02-09,,,,,,,,2,6,5,,,1,,1,,1,,,,,,,
2005-02-10,,,,,,,,2,4,2,1,1,1,,,,2,,,,,,,
2005-02-11,,,,,,,,,5,1,,2,1,2,,1,,2,,,,,,
2005-02-12,,,,,,,,,,1,,1,2,1,,,,,,,2,,,
2005-02-13,,,,,,,,,,,2,,1,1,,,1,,,,,,,
2005-02-14,,,,,,,,2,6,2,,,,1,1,1,2,,,,,,,
2005-02-15,,,,,,,,2,6,1,,3,2,2,1,,,,,,,,,
2005-02-16,,,,,,,,1,6,5,,1,1,1,,,,3,,,,,,
2005-02-17,,,,,,,,,13,3,,1,,1,1,1,1,,1,,2,,,
2005-02-18,,,,,,,,1,7,2,,,,1,,,1,2,,,,,,
2005-02-19,,,,,,,,1,3,,,1,,,,,1,1,,,,,,
2005-02-20,,,,,,,,,,1,,,1,1,2,,1,,,,,,,
2005-02-21,,,,,,,,,,1,2,,,,,,,,,,,,,
2005-02-22,,,,,,,,2,1,1,,,1,1,,1,,,,,,,,
2005-02-23,,,,,,,,,2,1,,,1,,,2,,1,,,,,,
2005-02-24,,,,,,,,1,,2,,,1,1,,,,,1,,,1,,
2005-02-25,,,,,,,,,3,3,,1,2,1,1,1,1,,,,,,,
2005-02-26,,,,,,,,,2,1,1,,1,1,,,,,,1,,,,2
2005-02-27,,,,,,,,,,6,,,1,4,,,,,,,,,,
2005-02-28,,,,,,,,1,6,1,,,,1,,,,,,2,,,,
2005-03-01,,,,,,,,1,6,5,,,,1,1,,,,,,,,,
2005-03-02,0.2,0.2,0.2,0.2,0.2,0.2,,2,2,2,,,1,1,2,,1,2,,2,,,,
2005-03-03,,,,,,,,2,4,2,,,,1,,,,,,1,,,,
2005-03-04,,,,,,,,,6,2,,1,1,,,2,1,,1,,,,,
2005-03-05,,,,,,,1,1,,2,,,,,,,,,1,,,,,
2005-03-06,,,,,,,,,,1,1,1,1,,1,,,,1,,,,,1
2005-03-07,,,,,,,,1,7,,1,,1,,1,,,1,1,,,,,
2005-03-08,0.3,0.3,0.3,0.3,0.3,0.3,,1,6,,3,1,1,2,1,,,1,,,,,,
2005-03-09,,,,,,,1,1,8,5,,,2,,,1,,,,,,,,
2005-03-10,,,,,,,,,8,2,1,,2,1,,1,,1,,,,,,
2005-03-11,,,,,,,,2,4,3,,,1,2,,,,,,,,,,
2005-03-12,,,,,,,,,1,2,,,,,,,1,,3,2,,4,,
2005-03-13,,,,,,,1,,,1,1,2,6,1,1,,,,,,,,,
2005-03-14,,,,,,,1,,6,3,,,,1,,1,1,,,,,,,
2005-03-15,,,,,,,1,1,6,1,1,,,3,1,1,,1,,1,,,,
2005-03-16,,,,,,,1,1,8,1,,1,1,3,1,1,1,,,,,,,
2005-03-17,,,,,,,1,,4,2,1,1,1,,,,,,,,,1,,
2005-03-18,,,,,,,,,4,3,,1,,1,1,,,1,2,,,,,
2005-03-19,,,,,,,,,2,2,1,2,,2,,,2,,,1,2,,,
2005-03-20,,,,,,,1,,,,5,,1,,,2,,,,,,,,
2005-03-21,,,,,,,,1,6,,2,1,1,2,,1,,1,,,,,,
2005-03-22,,,,,,,,1,7,1,,,2,2,1,2,,,1,,,,,
2005-03-23,,,,,,,1,2,4,3,1,1,1,2,,,1,,2,,1,,,
2005-03-24,,,,,,,,3,3,2,1,,1,1,1,4,2,2,,,,,1,
2005-03-25,,,,,,,,,,1,1,3,,2,,,,4,,,1,,,
2005-03-26,,,,,,,,,1,,,,3,2,1,1,2,,1,1,,,,
